;T;UMIN;KMH;AVG_KMH;KM_TOTAL;KM_RALLYE;KM_SECTOR;KM_SECTOR_PRESET;KM_SECTOR_TO_BE_DRIVEN;FRAC_SECTOR_DRIVEN;DEV_AVG_KMH;KMH_GPS;LAT;LON;KM_TOTAL_GPS;KM_RALLYE_GPS;KM_SECTOR_GPS
data;30,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849784333;7,844809333;0,00;0,00;0,00
data;31,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849784667;7,8448095;0,00;0,00;0,00
data;32,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849778167;7,8448105;0,00;0,00;0,00
data;33,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849780333;7,844807;0,00;0,00;0,00
data;34,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849777167;7,844808167;0,00;0,00;0,00
data;35,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497725;7,844808167;0,00;0,00;0,00
data;36,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849777167;7,8448055;0,00;0,00;0,00
data;37,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849774833;7,844805167;0,00;0,00;0,00
data;38,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,84978;7,844802333;0,00;0,00;0,00
data;39,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849782167;7,844801;0,00;0,00;0,00
data;40,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849778;7,844802833;0,00;0,00;0,00
data;41,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849778;7,844804;0,00;0,00;0,00
data;42,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849771167;7,844807;0,00;0,00;0,00
data;43,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497765;7,844805;0,00;0,00;0,00
data;44,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849767667;7,844809333;0,00;0,00;0,00
data;45,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;5,2;49,849752667;7,844817;0,00;0,00;0,00
data;46,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849749833;7,844814667;0,00;0,00;0,00
data;47,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849755;7,844809333;0,00;0,00;0,00
data;48,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849747333;7,844811333;0,00;0,00;0,00
data;49,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849743667;7,844812667;0,00;0,00;0,00
data;50,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849738167;7,844813;0,00;0,00;0,00
data;51,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,849730333;7,8448145;0,00;0,00;0,00
data;52,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497205;7,844817833;0,00;0,00;0,00
data;53,0;0,0;0,0;0,0;0,00;0,00;0,00;0,00;0,00;0;0,0;0,0;49,8497215;7,844816;0,00;0,00;0,00
